series_id	year	period	value
CES6500000001    	1965	M05	        3569	          
CES6500000001    	1965	M06	        3579	          
CES6500000001    	1965	M07	        3599	          
CES6500000001    	1965	M08	        3608	          
CES6500000001    	1965	M09	        3622	          
CES6500000001    	1965	M10	        3633	          
CES6500000001    	1965	M11	        3646	          
CES6500000001    	1965	M12	        3665	          
CES6500000001    	1966	M01	        3679	          
CES6500000001    	1966	M02	        3695	          
CES6500000001    	1966	M03	        3711	          
CES6500000001    	1966	M04	        3726	          
CES6500000001    	1966	M05	        3742	          
CES6500000001    	1966	M06	        3763	          
CES6500000001    	1966	M07	        3781	          
CES6500000001    	1966	M08	        3797	          
CES6500000001    	1966	M09	        3809	          
CES6500000001    	1966	M10	        3828	          
CES6500000001    	1966	M11	        3845	          
CES6500000001    	1966	M12	        3863	          
CES6500000001    	1967	M01	        3883	          
CES6500000001    	1967	M02	        3899	          
CES6500000001    	1967	M03	        3919	          
CES6500000001    	1967	M04	        3939	          
CES6500000001    	1967	M05	        3957	          
CES6500000001    	1967	M06	        3975	          
CES6500000001    	1967	M07	        3997	          
CES6500000001    	1967	M08	        4015	          
CES6500000001    	1967	M09	        4036	          
CES6500000001    	1967	M10	        4046	          
CES6500000001    	1967	M11	        4074	          
CES6500000001    	1967	M12	        4090	          
CES6500000001    	1968	M01	        4100	          
CES6500000001    	1968	M02	        4120	          
CES6500000001    	1968	M03	        4126	          
CES6500000001    	1968	M04	        4136	          
CES6500000001    	1968	M05	        4154	          
CES6500000001    	1968	M06	        4179	          
CES6500000001    	1968	M07	        4196	          
CES6500000001    	1968	M08	        4216	          
CES6500000001    	1968	M09	        4221	          
CES6500000001    	1968	M10	        4253	          
CES6500000001    	1968	M11	        4283	          
CES6500000001    	1968	M12	        4305	          
CES6500000001    	1969	M01	        4326	          
CES6500000001    	1969	M02	        4348	          
CES6500000001    	1969	M03	        4373	          
CES6500000001    	1969	M04	        4391	          
CES6500000001    	1969	M05	        4408	          
CES6500000001    	1969	M06	        4422	          
CES6500000001    	1969	M07	        4441	          
CES6500000001    	1969	M08	        4458	          
CES6500000001    	1969	M09	        4463	          
CES6500000001    	1969	M10	        4493	          
CES6500000001    	1969	M11	        4500	          
CES6500000001    	1969	M12	        4517	          
CES6500000001    	1970	M01	        4531	          
CES6500000001    	1970	M02	        4552	          
CES6500000001    	1970	M03	        4556	          
CES6500000001    	1970	M04	        4567	          
CES6500000001    	1970	M05	        4579	          
CES6500000001    	1970	M06	        4574	          
CES6500000001    	1970	M07	        4567	          
CES6500000001    	1970	M08	        4559	          
CES6500000001    	1970	M09	        4593	          
CES6500000001    	1970	M10	        4610	          
CES6500000001    	1970	M11	        4619	          
CES6500000001    	1970	M12	        4623	          
CES6500000001    	1971	M01	        4632	          
CES6500000001    	1971	M02	        4632	          
CES6500000001    	1971	M03	        4642	          
CES6500000001    	1971	M04	        4647	          
CES6500000001    	1971	M05	        4658	          
CES6500000001    	1971	M06	        4671	          
CES6500000001    	1971	M07	        4677	          
CES6500000001    	1971	M08	        4672	          
CES6500000001    	1971	M09	        4695	          
CES6500000001    	1971	M10	        4706	          
CES6500000001    	1971	M11	        4722	          
CES6500000001    	1971	M12	        4736	          
CES6500000001    	1972	M01	        4749	          
CES6500000001    	1972	M02	        4764	          
CES6500000001    	1972	M03	        4781	          
CES6500000001    	1972	M04	        4806	          
CES6500000001    	1972	M05	        4833	          
CES6500000001    	1972	M06	        4884	          
CES6500000001    	1972	M07	        4879	          
CES6500000001    	1972	M08	        4900	          
CES6500000001    	1972	M09	        4894	          
CES6500000001    	1972	M10	        4930	          
CES6500000001    	1972	M11	        4952	          
CES6500000001    	1972	M12	        4975	          
CES6500000001    	1973	M01	        5003	          
CES6500000001    	1973	M02	        5025	          
CES6500000001    	1973	M03	        5042	          
CES6500000001    	1973	M04	        5052	          
CES6500000001    	1973	M05	        5060	          
CES6500000001    	1973	M06	        5069	          
CES6500000001    	1973	M07	        5058	          
CES6500000001    	1973	M08	        5104	          
CES6500000001    	1973	M09	        5139	          
CES6500000001    	1973	M10	        5158	          
